\,Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,-0.8638,0.10157,-0.25245
1.59983E+15,2,30.21332,128.29981,-45.04532
1.59983E+15,1,-0.87649,0.01465,-0.44044
1.59983E+15,2,30.21332,129.15433,-46.87643
1.59983E+15,1,-0.91604,0.00732,-0.5342
1.59983E+15,2,30.57955,130.98544,-46.57125
1.59983E+15,1,-0.876,0.00977,-0.52492
1.59983E+15,2,29.54192,129.0933,-46.69332
1.59983E+15,1,-0.79788,0.02002,-0.39405
1.59983E+15,2,28.99258,125.61419,-44.92325
1.59983E+15,1,-0.81497,0.03369,-0.4131
1.59983E+15,2,31.4951,133.42692,-48.15821
1.59983E+15,1,-0.81399,-0.05664,-0.6509
1.59983E+15,2,28.87051,127.20115,-48.03613
1.59983E+15,1,-0.8179,-0.09229,-0.62111
1.59983E+15,2,25.08621,120.97537,-44.43495
1.59983E+15,1,-0.85598,-0.03369,-0.5298
1.59983E+15,2,27.28355,119.51048,-43.09214
1.59983E+15,1,-0.7842,-0.03272,-0.47072
1.59983E+15,2,28.38221,118.53389,-42.72591
1.59983E+15,1,-0.76858,0.04785,-0.46925
1.59983E+15,2,28.6874,124.21033,-45.71673
1.59983E+15,1,-0.76125,-0.03125,-0.60695
1.59983E+15,2,30.51851,126.16352,-46.63228
1.59983E+15,1,-0.72951,-0.10645,-0.62844
1.59983E+15,2,27.22251,125.55315,-44.61806
1.59983E+15,1,-0.79495,-0.12793,-0.70217
1.59983E+15,2,26.97836,122.37922,-43.09214
1.59983E+15,1,-0.72805,-0.12012,-0.69924
1.59983E+15,2,25.45244,114.01715,-40.34547
1.59983E+15,1,-0.71096,-0.06934,-0.63723
1.59983E+15,2,27.10044,117.80145,-40.34547
1.59983E+15,1,-0.71633,-0.04151,-0.59963
1.59983E+15,2,28.07703,125.06485,-44.43495
1.59983E+15,1,-0.69094,-0.05908,-0.58107
1.59983E+15,2,29.66399,132.75552,-46.81539
1.59983E+15,1,-0.66066,-0.10889,-0.69924
1.59983E+15,2,30.64058,135.99048,-48.03613
1.59983E+15,1,-0.63478,-0.19874,-0.92386
1.59983E+15,2,28.38221,126.65181,-45.41154
1.59983E+15,1,-0.61476,-0.21876,-0.9888
1.59983E+15,2,23.31614,114.32234,-40.83377
1.59983E+15,1,-0.67287,-0.18506,-0.88968
1.59983E+15,2,21.36296,108.95108,-38.94162
1.59983E+15,1,-0.61379,-0.14063,-0.70412
1.59983E+15,2,22.46162,109.25626,-38.94162
1.59983E+15,1,-0.5005,-0.09912,-0.51222
1.59983E+15,2,25.45244,117.80145,-42.11554
1.59983E+15,1,-0.5049,-0.14698,-0.60158
1.59983E+15,2,28.87051,127.4453,-45.77776
1.59983E+15,1,-0.51759,-0.21876,-0.8384
1.59983E+15,2,29.96918,129.58159,-45.47258
1.59983E+15,1,-0.52736,-0.24903,-1.0137
1.59983E+15,2,26.30696,124.94278,-45.04532
1.59983E+15,1,-0.55519,-0.21973,-0.94974
1.59983E+15,2,22.5837,115.66515,-42.23762
1.59983E+15,1,-0.5049,-0.16846,-0.72414
1.59983E+15,2,26.06281,114.99374,-41.19999
1.59983E+15,1,-0.40626,-0.15918,-0.67824
1.59983E+15,2,28.01599,122.31819,-45.47258
1.59983E+15,1,-0.4463,-0.20264,-0.84036
1.59983E+15,2,28.56532,128.17774,-47.60887
1.59983E+15,1,-0.46925,-0.25782,-1.01517
1.59983E+15,2,27.16147,124.63759,-44.86221
1.59983E+15,1,-0.47462,-0.28907,-1.1055
1.59983E+15,2,23.98755,109.8056,-39.42991
1.59983E+15,1,-0.52882,-0.27931,-1.00101
1.59983E+15,2,20.63051,102.29804,-37.72088
1.59983E+15,1,-0.40333,-0.2129,-0.71828
1.59983E+15,2,22.5837,102.42012,-38.51436
1.59983E+15,1,-0.30811,-0.15137,-0.53957
1.59983E+15,2,26.36799,113.16263,-41.99347
1.59983E+15,1,-0.33302,-0.20167,-0.69192
1.59983E+15,2,29.72503,131.10752,-48.03613
1.59983E+15,1,-0.29298,-0.27442,-0.89407
1.59983E+15,2,31.25095,138.43196,-49.19584
1.59983E+15,1,-0.32667,-0.32179,-1.08353
1.59983E+15,2,28.50429,135.56322,-47.12058
1.59983E+15,1,-0.32618,-0.32228,-1.13236
1.59983E+15,2,24.35377,119.87671,-42.48177
1.59983E+15,1,-0.28614,-0.29298,-1.02054
1.59983E+15,2,23.7434,106.87582,-40.2234
1.59983E+15,1,-0.25391,-0.27979,-0.93362
1.59983E+15,2,25.75762,107.05893,-41.44414
1.59983E+15,1,-0.15625,-0.24171,-0.77248
1.59983E+15,2,28.01599,113.1016,-43.51939
1.59983E+15,1,-0.15088,-0.28175,-0.76614
1.59983E+15,2,29.78607,125.00381,-46.38813
1.59983E+15,1,-0.08155,-0.3086,-0.85354
1.59983E+15,2,29.1757,132.69448,-47.18162
1.59983E+15,1,-0.15381,-0.35401,-1.00345
1.59983E+15,2,27.95495,129.7647,-45.28947
1.59983E+15,1,-0.10059,-0.36427,-1.08109
1.59983E+15,2,28.50429,123.41685,-44.43495
1.59983E+15,1,-0.00049,-0.34864,-0.9722
1.59983E+15,2,29.90814,117.92352,-44.12976
1.59983E+15,1,-0.01856,-0.31349,-0.83694
1.59983E+15,2,29.78607,114.62752,-41.8714
1.59983E+15,1,-0.07276,-0.30665,-0.79983
1.59983E+15,2,27.71081,122.98959,-45.59465
1.59983E+15,1,-0.02051,-0.32569,-0.84231
1.59983E+15,2,29.48088,129.58159,-46.14399
1.59983E+15,1,0.02881,-0.40919,-0.93118
1.59983E+15,2,28.32118,126.71285,-45.28947
1.59983E+15,1,0.06836,-0.3882,-1.10355
1.59983E+15,2,27.95495,118.35078,-42.42073
1.59983E+15,1,0.00293,-0.36769,-1.06107
1.59983E+15,2,24.53688,113.71197,-42.5428
1.59983E+15,1,0.01416,-0.32472,-0.85354
1.59983E+15,2,28.32118,119.57152,-44.25184
1.59983E+15,1,0.03955,-0.33351,-0.78616
1.59983E+15,2,30.45747,126.89596,-45.65569
1.59983E+15,1,0.10059,-0.37648,-0.80422
1.59983E+15,2,29.54192,133.79315,-47.24265
1.59983E+15,1,0.07617,-0.39454,-1.043
1.59983E+15,2,28.38221,136.845,-48.09717
1.59983E+15,1,0.16016,-0.41554,-1.05325
1.59983E+15,2,27.89392,129.82574,-45.65569
1.59983E+15,1,0.03955,-0.48878,-1.26615
1.59983E+15,2,23.07199,114.50545,-41.13895
1.59983E+15,1,0.06641,-0.48976,-1.31693
1.59983E+15,2,16.96829,83.68175,-29.66399
1.59983E+15,1,0.05274,-0.5298,-1.34379
1.59983E+15,2,8.60622,52.24769,-18.7994
1.59983E+15,1,0.06397,-0.54738,-1.42778
1.59983E+15,2,0.12207,11.90222,-4.63881
1.59983E+15,1,0.03272,-0.53908,-1.42241
1.59983E+15,2,-8.17896,-26.49007,8.36207
1.59983E+15,1,0.05713,-0.51613,-1.42973
1.59983E+15,2,-17.33451,-65.30961,22.82785
1.59983E+15,1,0.09571,-0.47609,-1.30277
1.59983E+15,2,-25.45244,-100.52797,35.52355
1.59983E+15,1,0.07178,-0.45753,-1.29154
1.59983E+15,2,-30.15229,-124.88174,44.43495
1.59983E+15,1,0.16065,-0.43605,-1.1597
1.59983E+15,2,-33.87555,-143.00974,50.96591
1.59983E+15,1,0.167,-0.43556,-1.02933
1.59983E+15,2,-39.18577,-160.1001,59.0228
1.59983E+15,1,0.10157,-0.43263,-0.99271
1.59983E+15,2,-40.71169,-166.08173,64.21094
1.59983E+15,1,0.09473,-0.33595,-0.90921
1.59983E+15,2,-36.62221,-163.8844,60.30457
1.59983E+15,1,0.01514,-0.32081,-0.87356
1.59983E+15,2,-34.24177,-152.95877,57.43583
1.59983E+15,1,0.0459,-0.30958,-0.85354
1.59983E+15,2,-32.59377,-147.4044,53.04117
1.59983E+15,1,-0.00098,-0.36427,-0.90384
1.59983E+15,2,-33.6314,-146.9161,51.02695
1.59983E+15,1,-0.03369,-0.34523,-0.94339
1.59983E+15,2,-31.55614,-143.31492,50.35554
1.59983E+15,1,-0.09619,-0.29347,-0.84768
1.59983E+15,2,-29.66399,-129.82574,46.51021
1.59983E+15,1,-0.08008,-0.24512,-0.71487
1.59983E+15,2,-24.59792,-118.83908,42.05451
1.59983E+15,1,-0.21778,-0.28028,-0.80081
1.59983E+15,2,-22.21747,-104.55641,36.50014
1.59983E+15,1,-0.23829,-0.3462,-0.98489
1.59983E+15,2,-22.52266,-104.06812,37.11051
1.59983E+15,1,-0.22169,-0.3882,-1.08548
1.59983E+15,2,-25.20829,-116.21448,41.44414
